Definition Rechensystem als System	offen, dynamisch, technisch
Arten von Interaktionen zwischen parallelen Programmen	Kausale Beziehung / Kommunikation / Koordinierung / Konkurrenz
Definition Nichtdeterminismus	System zeigt bei gleichen Ausgangsbedingungen und gleichen Eingaben unterschiedlicher Verhalten
Eigenschaften korrekter paralleler Systeme	Determiniertheit /  ~ Bei gleichen Bedingungen entstehen die gleichen Ergebnisse / Störungsfreiheit /  ~ Es gibt eine Reihenfolge, unter der das Ergebnis nicht beeinflusst wird / Wechselseitiger Ausschluss exklusiv nutzbarer Ressourcen /  ~ Maximal ein Prozess greift zu jedem Zeitpunkt auf gemeinsame Ressource zu / Verklemmungsfreiheit / Kein Verhungern /  ~ Es gibt keine Prozesse, deren Ausführung unendlich lange aufgeschoben wird
Definition Race Condition	Mindestens zwei Prozesse greifen lesend oder schreibend auf gemeinsame Ressource zu
Definition Kritischer Abschnitt	In kritischen Abschnitten greifen Prozesse auf gemeinsame Ressource zu
Definition Unterbrechungssperre	Ein Unterbrechungssperre verhindert, dass der aktive Prozess bei einem Interrupt die CPU abgeben muss
Definition Spin-Lock	Aktives Warten eines Prozesses, bis eine belegte Ressource frei wird
Definition passives Warten	Prozess gibt immer wieder die CPU ab, bis der Lock auf der angefragten Ressource frei wird
Definition Semaphore	Ganzzahlige, von mehreren Prozessen geteilte Kontrollvariable
Operationen auf einer Semaphore	Initialisierung, P (down/wait), V (up/signal) -> P/V sind atomar
Definition Mutex	Gemeinsame Variable, die zwei Zustände annehmen kann: unlocked oder locked
Definition Monitor	Zusammenfassung von Daten mit zugehörigen Zugriffsoperationen / → Compiler erzeugt automatisch Semaphore dafür / → Zu jedem Zeitpunkt darf höchstens ein Prozess innerhalb eines Monitors aktiv sein
Definition Deadlock	Ein Zustand, in dem eine Menge von Prozessen auf ein Ereignis wartet, / das nur ein anderer Prozess aus dieser Menge auslösen kann
Bedingungen für Deadlocks	1. Exklusiv nutzbare Ressource / 2. Belegen und Anfordern von weiteren Ressource möglich / 3. Keine Entziehbarkeit von Ressourcen / 4. Zyklisches Warten von Prozessen
Strategien zum Umgang mit Deadlocks	1. Ignorieren / 2. Deadlock-Detection (Erkennen/Beseitigen von Deadlocks, falls diese auftreten) / 3. Deadlock-Prevention (eine der Deadlock-Bedingungen wird außer Kraft gesetzt) / 4. Deadlock-Avoidance (Ressourceverteilungen, die potentiell in einem Deadlock enden, werden nicht durchgeführt)
Algorithmus zum Finden aller Prozesse in einem Deadlock	1. P sei die Menge aller Prozesse / 2. Suche p∈P, dessen Anforderungen momentan erfüllbar sind / 3. Simuliere, dass p seine belegten Ressource wieder freigibt / 4. P:=P\{p}, gehe zu 2 / 5. Falls P=∅, terminiere Suche, keine Deadlocks / 6. Falls P≠∅, ist P die Menge der verklemmten Prozesse
Methoden zur Behebung von Deadlocks	• Abbruch der verklemmten Prozesse / • Ressourcenentzug / • Zurückführung der verklemmten Prozesse auf einen Kontrollpunkt
Beschreibung Bankier-Algorithmus	1. Falls ein Prozess eine Ressourcen-Anforderung hat, teil man die Ressource probeweise zu / 2. Man geht nun von Maximalanforderungen aller anderen Prozesse aus / 3. Ausführung von Deadlock-Erkennung / 4. Falls kein Deadlock auftritt, kann die Zuteilung nun tatsächlich erfolgen
Probleme mit dem Bankiers-Algorithmus	• Ressourcebedarf ist häufig nicht bekannt / • Neue Prozesse können erzeugt werden
Spooling Methode	Ein Spooler-Prozess hat als einziger die Ressource zugeteilt, alle Prozesse nutzen die Ressource über den Spooler / Spooler verwaltet eine Auftragswarteschlange für Aufträge
Geordnete Ressourcen-Anforderung Methode	Festlegen einer linearen Ordnung auf den Ressource, die Ressourcen dürfen nur gemäß dieser Ordnung angefordert werden
Definition Livelock	Zwei Prozesse forden jeweils zwei Ressourcen an, die sie beide dann wieder freigeben, / wenn sie merken, dass die vom anderen belegt sind. Das wird ad infinitum wiederholt.
Definition Starvation	Ein Prozess verhungert, wenn seine Ressourcenanfragen nie erfüllt werden, / da stets andere Prozesse Vorrang haben.
Definition Aktionsstruktur	p=(E,≤,α) heißt Aktionsstruktur von Prozess p, falls /  / 1. Die Ereignismenge E* gilt E⊆E* / 2. ≤ eine partielle Ordnung über E, die die Kausalitätsrelation darstellt. / 3. Die Abbildung α: E→A ist die Aktionsmarkierung des Prozesses p / 4. Die Abbildung α ordnet jedem Ereignis eine Aktion zu.
Man nennt in einem Prozess p=(E,≤,α) zwei Ereignisse e₁,e₂∈E parallel/nebenläufig, falls _	¬(e₁≤e₂∨e₂≤e₁)
Voraussetzungen für Sequentialisierung eines Prozesses	Ereignisse bleiben erhalten / Aktionen bleiben erhalten / Bestehende Reihenfolge bleibt erhalten und wird komplettiert
Definition Nichtdeterministischer endlicher Zustandsautomat	(S,A,S₀,R⊆S×A×S) / S: Menge an Zuständen / A: Menge von Transitionsaktionen / S₀: Menge von möglichen Anfangszuständen / R: Zustandsübergangsrelation
Definition Vorbereich	V(a)⊆S, V(a): Menge der gelesenen Zustandsvariablen, S: Menge der Zustände
Definition Nachbereich	N(a)⊆S, N(a): Menge der geschriebenen Zustandsvariablen, S: Menge der Zustände
Prozess p=(E,≤,α) heißt störungsfrei, wenn	∀e₁,e₂: e₁≤e₂∨e₂≤e₁ oder V(α(e₁))∩N(α(e₂))=∅ ∧ V(α(e₂))∩N(α(e₁))=∅ ∧ N(α(e₁))∩N(α(e₂))=∅ / D.h. Vorbereiche/Nachbereiche der beiden Variablen sind unterschiedlich (Bernstein-Bedingungen)
Definition Petri-Netz	(S,T,F) / S: endliche Menge von Stellen, repräsentiert als Kreise / T: endliche Menge von Transitionen, repräsentiert als Rechtecke / F: Flussrelation F⊆(S×T)∪(T×S)
Definition Vorbereich in Petri-Netz	•x={y|y F x}, F: Flussrelation
Definition Nachbereich in Petri-Netz	x•={y|x F y}, F: Flussrelation
